類型,分類,中文名稱,英文名稱,C語言名稱,描述,來源文件,範例,狀態,簽名,格式提示,語言
隱藏符號,隱藏運算符,,")
    processed_lines = []
    for line in lines:
        line = line.rstrip()
        if line.strip():  # 非空行
            # 如果行包含函數調用或變數聲明，且不以分號結尾，且不是控制結構，添加分號
            if (not line.endswith(",")
    processed_lines = []
    for line in lines:
        line = line.rstrip()
        if line.strip():  # 非空行
            # 如果行包含函數調用或變數聲明，且不以分號結尾，且不是控制結構，添加分號
            if (not line.endswith(",在代碼中發現的隱藏運算符定義,zhcc_pro.py,,隱藏,,,
隱藏符號,隱藏運算符,,") and
                not line.strip().startswith(",") and
                not line.strip().startswith(",在代碼中發現的隱藏運算符定義,zhcc_pro.py,,隱藏,,,
隱藏符號,隱藏運算符,,") and
                not line.strip().endswith(",") and
                not line.strip().endswith(",在代碼中發現的隱藏運算符定義,zhcc_pro.py,,隱藏,,,
隱藏符號,隱藏運算符,,") and
                not line.strip().endswith(",") and
                not line.strip().endswith(",在代碼中發現的隱藏運算符定義,zhcc_pro.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,整數,int,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,浮點數,float,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,雙精度,double,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,字符,char,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,字串,char*,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,布林,bool,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,無符號整數,unsigned int,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,長整數,long,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,短整數,short,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,如果,if,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,否則,else,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,否則如果,else if,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,當,while,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,對於,for,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,循環,loop,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,返回,return,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,中斷,break,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,繼續,continue,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,函數,function,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,主函數,main,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,空值,void,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,參數,param,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,返回值,return,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,印出,printf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,輸出,printf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,輸入,scanf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,格式化輸出,printf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,格式化輸入,scanf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,等於,==,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,不等於,!=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,大於,>,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,小於,<,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,大於等於,>=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,小於等於,<=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,且,&&,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,或,||,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,非,!,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,加,+,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,減,-,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,乘,*,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,除,/,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,取餘,%,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,賦值,=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,加等,+=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,減等,-=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,乘等,*=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,除等,/=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,隨機數,rand,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,長度,strlen,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,複製,strcpy,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,比較,strcmp,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,連接,strcat,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,尋找,strstr,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,平方根,sqrt,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,絕對值,abs,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,冪運算,pow,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,真,true,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,假,false,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,空,NULL,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,大小,sizeof,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏運算符,,zh_TW.UTF-8,zh_TW.UTF-8,在代碼中發現的隱藏運算符定義,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏運算符,,zh_TW.UTF-8,zh_TW.UTF-8,在代碼中發現的隱藏運算符定義,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏運算符,,Chinese_Traditional,Chinese_Traditional,在代碼中發現的隱藏運算符定義,chinese_compiler_toolchain.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,整數,int,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,浮點數,float,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,雙精度,double,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,字符,char,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,字串,char*,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,布林,bool,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,無符號整數,unsigned int,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,長整數,long,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,短整數,short,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,小數,float,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,雙精度小數,double,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,真,true,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,假,false,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,如果,if,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,否則,else,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,否則如果,else if,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,當,while,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,對於,for,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,循環,loop,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,返回,return,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,中斷,break,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,繼續,continue,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,函數,function,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,主函數,main,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,空值,void,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,參數,param,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,返回值,return,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,印出,printf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,輸出,printf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,輸入,scanf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,格式化輸出,printf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,格式化輸入,scanf,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,等於,==,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,不等於,!=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,大於,>,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,小於,<,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,大於等於,>=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,小於等於,<=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,且,&&,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,或,||,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,非,!,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,加,+,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,減,-,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,乘,*,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,除,/,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,取餘,%,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,賦值,=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,加等,+=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,減等,-=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,乘等,*=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,除等,/=,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,隨機數,rand,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,長度,strlen,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,平方根,sqrt,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,絕對值,abs,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,冪運算,pow,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,分配,malloc,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,釋放,free,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,重新分配,realloc,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,複製,strcpy,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,連接,strcat,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,比較,strcmp,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,真,true,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,假,false,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,空,NULL,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,大小,sizeof,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,圓周率,3.141592653589793,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏關鍵字映射,自然常數,2.718281828459045,,在代碼中發現的隱藏關鍵字映射,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏運算符,,zh_TW.UTF-8,zh_TW.UTF-8,在代碼中發現的隱藏運算符定義,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏運算符,,zh_TW.UTF-8,zh_TW.UTF-8,在代碼中發現的隱藏運算符定義,chinese_compiler_toolchain_fixed.py,,隱藏,,,
隱藏符號,隱藏運算符,,Chinese_Traditional,Chinese_Traditional,在代碼中發現的隱藏運算符定義,chinese_compiler_toolchain_fixed.py,,隱藏,,,
未知符號,未知符號,,UNKNOWN,unknown,詞法分析器無法識別的符號,lexer.py,,系統定義,,,
未知符號,未知符號,,__unknown__,,可能的未知符號模式: __unknown__,系統推斷,,推斷,,,
未知符號,未知符號,未知,,,可能的未知符號模式: 未知,系統推斷,,推斷,,,
未知符號,未知符號,,unknown,,可能的未知符號模式: unknown,系統推斷,,推斷,,,
